Date,High,Low,Open,Close,Volume,Adj Close
2019-04-19,671.0,671.0,671.0,671.0,60,671.0
2019-04-22,671.0,671.0,671.0,671.0,0,671.0
2019-04-23,662.0,654.0,662.0,654.0,20,654.0
2019-04-24,667.0,657.0,666.0,657.0,660,657.0
2019-04-25,657.0,657.0,657.0,657.0,0,657.0
2019-04-26,651.0,651.0,651.0,651.0,20,651.0
2019-05-07,641.0,622.0,641.0,622.0,460,622.0
2019-05-08,620.0,620.0,620.0,620.0,80,620.0
2019-05-09,605.0,597.0,605.0,597.0,110,597.0
2019-05-10,598.0,597.0,597.0,598.0,90,598.0
2019-05-13,600.0,577.0,600.0,577.0,160,577.0
2019-05-14,577.0,577.0,577.0,577.0,50,577.0
2019-05-15,577.0,577.0,577.0,577.0,0,577.0
2019-05-16,572.0,572.0,572.0,572.0,500,572.0
2019-05-17,572.0,572.0,572.0,572.0,90,572.0
2019-05-20,572.0,572.0,572.0,572.0,50,572.0
2019-05-21,573.0,573.0,573.0,573.0,30,573.0
2019-05-22,573.0,573.0,573.0,573.0,0,573.0
2019-05-23,580.0,580.0,580.0,580.0,10,580.0
2019-05-24,579.0,571.0,579.0,571.0,110,571.0
2019-05-27,574.0,572.0,574.0,572.0,610,572.0
2019-05-28,572.0,572.0,572.0,572.0,0,572.0
2019-05-29,565.0,564.0,565.0,564.0,610,564.0
2019-05-30,564.0,564.0,564.0,564.0,0,564.0
2019-05-31,565.0,541.0,541.0,565.0,70,565.0
2019-06-03,635.0,589.0,635.0,589.0,200,589.0
2019-06-04,588.0,588.0,588.0,588.0,30,588.0
2019-06-05,579.0,562.0,563.0,579.0,150,579.0
2019-06-06,579.0,579.0,579.0,579.0,50,579.0
2019-06-07,579.0,579.0,579.0,579.0,0,579.0
2019-06-10,629.0,600.0,600.0,600.0,70,600.0
2019-06-11,600.0,600.0,600.0,600.0,50,600.0
2019-06-12,600.0,600.0,600.0,600.0,500,600.0
2019-06-13,584.0,580.0,584.0,580.0,510,580.0
2019-06-14,600.0,600.0,600.0,600.0,100,600.0
2019-06-17,600.0,586.0,600.0,586.0,840,586.0
2019-06-18,586.0,586.0,586.0,586.0,0,586.0
2019-06-19,586.0,586.0,586.0,586.0,0,586.0
2019-06-20,586.0,586.0,586.0,586.0,0,586.0
2019-06-21,598.0,595.0,598.0,595.0,1060,595.0
2019-06-24,598.0,598.0,598.0,598.0,200,598.0
2019-06-25,605.0,590.0,605.0,600.0,950,600.0
2019-06-26,596.0,596.0,596.0,596.0,30,596.0
2019-06-27,611.0,611.0,611.0,611.0,220,611.0
2019-06-28,629.0,629.0,629.0,629.0,40,629.0
2019-07-01,615.0,614.0,615.0,614.0,50,614.0
2019-07-02,614.0,614.0,614.0,614.0,0,614.0
2019-07-03,600.0,600.0,600.0,600.0,530,600.0
2019-07-04,593.0,593.0,593.0,593.0,10,593.0
2019-07-05,593.0,593.0,593.0,593.0,0,593.0
2019-07-08,594.0,593.0,594.0,593.0,730,593.0
2019-07-09,593.0,593.0,593.0,593.0,0,593.0
2019-07-10,593.0,593.0,593.0,593.0,0,593.0
2019-07-11,585.0,583.0,583.0,585.0,640,585.0
2019-07-12,591.0,590.0,590.0,590.0,700,590.0
2019-07-16,580.0,570.0,570.0,580.0,220,580.0
2019-07-17,580.0,580.0,580.0,580.0,0,580.0
2019-07-18,580.0,580.0,580.0,580.0,0,580.0
2019-07-19,580.0,580.0,580.0,580.0,0,580.0
2019-07-22,590.0,590.0,590.0,590.0,10,590.0
2019-07-23,590.0,590.0,590.0,590.0,0,590.0
2019-07-24,584.0,584.0,584.0,584.0,10,584.0
2019-07-25,587.0,584.0,584.0,587.0,60,587.0
2019-07-26,587.0,587.0,587.0,587.0,0,587.0
2019-07-29,587.0,587.0,587.0,587.0,0,587.0
2019-07-30,587.0,587.0,587.0,587.0,0,587.0
2019-07-31,587.0,587.0,587.0,587.0,0,587.0
2019-08-01,587.0,587.0,587.0,587.0,0,587.0
2019-08-02,563.0,561.0,563.0,561.0,770,561.0
2019-08-05,563.0,535.0,563.0,535.0,1340,535.0
2019-08-06,607.0,525.0,607.0,525.0,150,525.0
2019-08-07,530.0,520.0,525.0,530.0,200,530.0
2019-08-08,530.0,530.0,530.0,530.0,0,530.0
2019-08-09,530.0,530.0,530.0,530.0,0,530.0
2019-08-13,530.0,530.0,530.0,530.0,100,530.0
2019-08-14,530.0,530.0,530.0,530.0,0,530.0
2019-08-15,530.0,530.0,530.0,530.0,0,530.0
2019-08-16,530.0,530.0,530.0,530.0,0,530.0
2019-08-19,530.0,530.0,530.0,530.0,10,530.0
2019-08-20,530.0,530.0,530.0,530.0,0,530.0
2019-08-21,530.0,530.0,530.0,530.0,0,530.0
2019-08-22,530.0,530.0,530.0,530.0,0,530.0
2019-08-23,523.0,523.0,523.0,523.0,10,523.0
2019-08-26,525.0,515.0,515.0,525.0,200,525.0
2019-08-27,525.0,525.0,525.0,525.0,20,525.0
2019-08-28,520.0,520.0,520.0,520.0,10,520.0
2019-08-29,557.0,557.0,557.0,557.0,10,557.0
2019-08-30,550.0,530.0,550.0,530.0,80,530.0
2019-09-02,560.0,530.0,560.0,540.0,200,540.0
2019-09-03,540.0,530.0,540.0,530.0,20,530.0
2019-09-04,530.0,530.0,530.0,530.0,0,530.0
2019-09-05,543.0,543.0,543.0,543.0,10,543.0
2019-09-06,543.0,543.0,543.0,543.0,0,543.0
2019-09-09,543.0,543.0,543.0,543.0,0,543.0
2019-09-10,543.0,543.0,543.0,543.0,0,543.0
2019-09-11,543.0,543.0,543.0,543.0,0,543.0
2019-09-12,543.0,543.0,543.0,543.0,0,543.0
2019-09-13,543.0,543.0,543.0,543.0,0,543.0
2019-09-17,543.0,543.0,543.0,543.0,0,543.0
2019-09-18,570.0,549.0,549.0,570.0,310,570.0
2019-09-19,577.0,575.0,575.0,577.0,210,577.0
2019-09-20,573.0,573.0,573.0,573.0,400,573.0
2019-09-24,568.0,568.0,568.0,568.0,10,568.0
2019-09-25,568.0,568.0,568.0,568.0,0,568.0
2019-09-26,568.0,568.0,568.0,568.0,0,568.0
2019-09-27,568.0,568.0,568.0,568.0,0,568.0
2019-09-30,565.0,565.0,565.0,565.0,10,565.0
2019-10-01,575.0,565.0,575.0,565.0,300,565.0
2019-10-02,590.0,570.0,589.0,579.0,820,579.0
2019-10-03,557.0,527.0,555.0,557.0,1040,557.0
2019-10-04,577.0,577.0,577.0,577.0,100,577.0
2019-10-07,577.0,577.0,577.0,577.0,0,577.0
